sps,test,model,run,PA,score,Cutoff,Sensitivity,Specificity
Aebu,KAPPA,GLM,RUN1,PA1,0.793,967,88.298,98.919
Aebu,TSS,GLM,RUN1,PA1,0.93,948,94.681,98.271
Aebu,ROC,GLM,RUN1,PA1,0.989,NA,NA,NA
Aebu,FAR,GLM,RUN1,PA1,0.739,967,88.298,98.919
Aebu,SR,GLM,RUN1,PA1,0.739,967,88.298,98.919
Aebu,ACCURACY,GLM,RUN1,PA1,0.986,967,88.298,98.919
Aebu,BIAS,GLM,RUN1,PA1,0.819,967,88.298,98.919
Aebu,POD,GLM,RUN1,PA1,1,17,100,89.517
Aebu,CSI,GLM,RUN1,PA1,0.667,967,88.298,98.919
Aebu,ETS,GLM,RUN1,PA1,0.657,967,88.298,98.919
Aebu,KAPPA,ANN,RUN1,PA1,0.754,977,87.234,98.595
Aebu,TSS,ANN,RUN1,PA1,0.918,542,94.681,97.154
Aebu,ROC,ANN,RUN1,PA1,0.972,NA,NA,NA
Aebu,FAR,ANN,RUN1,PA1,0.678,977,87.234,98.595
Aebu,SR,ANN,RUN1,PA1,0.678,977,87.234,98.595
Aebu,ACCURACY,ANN,RUN1,PA1,0.982,977,87.234,98.595
Aebu,BIAS,ANN,RUN1,PA1,0.713,977,87.234,98.595
Aebu,POD,ANN,RUN1,PA1,1,18,100,0
Aebu,CSI,ANN,RUN1,PA1,0.617,977,87.234,98.595
Aebu,ETS,ANN,RUN1,PA1,0.605,977,87.234,98.595
Aebu,KAPPA,SRE,RUN1,PA1,0.716,495,86.17,98.271
Aebu,TSS,SRE,RUN1,PA1,0.844,495,86.17,98.271
Aebu,ROC,SRE,RUN1,PA1,0.922,NA,NA,NA
Aebu,FAR,SRE,RUN1,PA1,0.628,495,86.17,98.271
Aebu,SR,SRE,RUN1,PA1,0.628,495,86.17,98.271
Aebu,ACCURACY,SRE,RUN1,PA1,0.979,495,86.17,98.271
Aebu,BIAS,SRE,RUN1,PA1,0.628,495,86.17,98.271
Aebu,POD,SRE,RUN1,PA1,0.862,495,86.17,98.271
Aebu,CSI,SRE,RUN1,PA1,0.57,495,86.17,98.271
Aebu,ETS,SRE,RUN1,PA1,0.557,495,86.17,98.271
Aebu,KAPPA,RF,RUN1,PA1,0.854,940,87.234,99.46
Aebu,TSS,RF,RUN1,PA1,0.957,58,97.872,97.803
Aebu,ROC,RF,RUN1,PA1,0.996,NA,NA,NA
Aebu,FAR,RF,RUN1,PA1,0.853,960,86.17,99.496
Aebu,SR,RF,RUN1,PA1,0.853,960,86.17,99.496
Aebu,ACCURACY,RF,RUN1,PA1,0.991,945,87.234,99.46
Aebu,BIAS,RF,RUN1,PA1,1,970,85.106,99.496
Aebu,POD,RF,RUN1,PA1,1,18,100,0
Aebu,CSI,RF,RUN1,PA1,0.752,940,87.234,99.46
Aebu,ETS,RF,RUN1,PA1,0.745,940,87.234,99.46
Aebu,KAPPA,GLM,RUN2,PA1,0.82,966,86.17,99.027
Aebu,TSS,GLM,RUN2,PA1,0.945,908,96.809,97.659
Aebu,ROC,GLM,RUN2,PA1,0.992,NA,NA,NA
Aebu,FAR,GLM,RUN2,PA1,0.794,966,86.17,99.027
Aebu,SR,GLM,RUN2,PA1,0.794,966,86.17,99.027
Aebu,ACCURACY,GLM,RUN2,PA1,0.988,966,86.17,99.027
Aebu,BIAS,GLM,RUN2,PA1,0.915,966,86.17,99.027
Aebu,POD,GLM,RUN2,PA1,1,21,100,92.147
Aebu,CSI,GLM,RUN2,PA1,0.704,966,86.17,99.027
Aebu,ETS,GLM,RUN2,PA1,0.696,966,86.17,99.027
Aebu,KAPPA,ANN,RUN2,PA1,0.808,957,91.489,98.883
Aebu,TSS,ANN,RUN2,PA1,0.954,754,97.872,97.55
Aebu,ROC,ANN,RUN2,PA1,0.984,NA,NA,NA
Aebu,FAR,ANN,RUN2,PA1,0.741,977,89.362,98.919
Aebu,SR,ANN,RUN2,PA1,0.741,977,89.362,98.919
Aebu,ACCURACY,ANN,RUN2,PA1,0.986,957,91.489,98.883
Aebu,BIAS,ANN,RUN2,PA1,0.809,977,89.362,98.919
Aebu,POD,ANN,RUN2,PA1,0.989,5,100,0
Aebu,CSI,ANN,RUN2,PA1,0.688,957,91.489,98.883
Aebu,ETS,ANN,RUN2,PA1,0.678,957,91.489,98.883
Aebu,KAPPA,SRE,RUN2,PA1,0.748,495,82.979,98.775
Aebu,TSS,SRE,RUN2,PA1,0.818,495,82.979,98.775
Aebu,ROC,SRE,RUN2,PA1,0.909,NA,NA,NA
Aebu,FAR,SRE,RUN2,PA1,0.696,495,82.979,98.775
Aebu,SR,SRE,RUN2,PA1,0.696,495,82.979,98.775
Aebu,ACCURACY,SRE,RUN2,PA1,0.983,495,82.979,98.775
Aebu,BIAS,SRE,RUN2,PA1,0.809,495,82.979,98.775
Aebu,POD,SRE,RUN2,PA1,0.83,495,82.979,98.775
Aebu,CSI,SRE,RUN2,PA1,0.609,495,82.979,98.775
Aebu,ETS,SRE,RUN2,PA1,0.598,495,82.979,98.775
Aebu,KAPPA,RF,RUN2,PA1,0.879,990,84.043,99.784
Aebu,TSS,RF,RUN2,PA1,0.952,37,97.872,97.262
Aebu,ROC,RF,RUN2,PA1,0.992,NA,NA,NA
Aebu,FAR,RF,RUN2,PA1,0.929,990,84.043,99.784
Aebu,SR,RF,RUN2,PA1,0.929,990,84.043,99.784
Aebu,ACCURACY,RF,RUN2,PA1,0.993,990,84.043,99.784
Aebu,BIAS,RF,RUN2,PA1,1,925.5,87.234,99.568
Aebu,POD,RF,RUN2,PA1,0.989,17,100,0
Aebu,CSI,RF,RUN2,PA1,0.79,990,84.043,99.784
Aebu,ETS,RF,RUN2,PA1,0.784,990,84.043,99.784
Aebu,KAPPA,GLM,RUN3,PA1,0.755,966,87.234,98.703
Aebu,TSS,GLM,RUN3,PA1,0.946,878,97.872,96.758
Aebu,ROC,GLM,RUN3,PA1,0.99,NA,NA,NA
Aebu,FAR,GLM,RUN3,PA1,0.699,966,87.234,98.703
Aebu,SR,GLM,RUN3,PA1,0.699,966,87.234,98.703
Aebu,ACCURACY,GLM,RUN3,PA1,0.983,966,87.234,98.703
Aebu,BIAS,GLM,RUN3,PA1,0.798,966,87.234,98.703
Aebu,POD,GLM,RUN3,PA1,1,24,100,91.39
Aebu,CSI,GLM,RUN3,PA1,0.617,966,87.234,98.703
Aebu,ETS,GLM,RUN3,PA1,0.606,966,87.234,98.703
Aebu,KAPPA,ANN,RUN3,PA1,0.772,930,94.681,98.379
Aebu,TSS,ANN,RUN3,PA1,0.945,99,97.872,96.578
Aebu,ROC,ANN,RUN3,PA1,0.992,NA,NA,NA
Aebu,FAR,ANN,RUN3,PA1,0.664,930,94.681,98.379
Aebu,SR,ANN,RUN3,PA1,0.664,930,94.681,98.379
Aebu,ACCURACY,ANN,RUN3,PA1,0.983,930,94.681,98.379
Aebu,BIAS,ANN,RUN3,PA1,0.67,979,89.362,98.451
Aebu,POD,ANN,RUN3,PA1,1,21,100,0
Aebu,CSI,ANN,RUN3,PA1,0.64,930,94.681,98.379
Aebu,ETS,ANN,RUN3,PA1,0.629,930,94.681,98.379
Aebu,KAPPA,SRE,RUN3,PA1,0.697,495,78.723,98.523
Aebu,TSS,SRE,RUN3,PA1,0.772,495,78.723,98.523
Aebu,ROC,SRE,RUN3,PA1,0.886,NA,NA,NA
Aebu,FAR,SRE,RUN3,PA1,0.643,495,78.723,98.523
Aebu,SR,SRE,RUN3,PA1,0.643,495,78.723,98.523
Aebu,ACCURACY,SRE,RUN3,PA1,0.979,495,78.723,98.523
Aebu,BIAS,SRE,RUN3,PA1,0.777,495,78.723,98.523
Aebu,POD,SRE,RUN3,PA1,0.787,495,78.723,98.523
Aebu,CSI,SRE,RUN3,PA1,0.548,495,78.723,98.523
Aebu,ETS,SRE,RUN3,PA1,0.535,495,78.723,98.523
Aebu,KAPPA,RF,RUN3,PA1,0.836,990,84.043,99.568
Aebu,TSS,RF,RUN3,PA1,0.957,32,98.936,96.722
Aebu,ROC,RF,RUN3,PA1,0.991,NA,NA,NA
Aebu,FAR,RF,RUN3,PA1,0.865,990,84.043,99.568
Aebu,SR,RF,RUN3,PA1,0.865,990,84.043,99.568
Aebu,ACCURACY,RF,RUN3,PA1,0.99,990,84.043,99.568
Aebu,BIAS,RF,RUN3,PA1,1,980,84.043,99.46
Aebu,POD,RF,RUN3,PA1,0.989,22,98.936,96.073
Aebu,CSI,RF,RUN3,PA1,0.726,990,84.043,99.568
Aebu,ETS,RF,RUN3,PA1,0.719,990,84.043,99.568
Aebu,KAPPA,GLM,RUN4,PA1,0.795,967,85.106,99.027
Aebu,TSS,GLM,RUN4,PA1,0.954,928,97.872,97.478
Aebu,ROC,GLM,RUN4,PA1,0.992,NA,NA,NA
Aebu,FAR,GLM,RUN4,PA1,0.767,967,85.106,99.027
Aebu,SR,GLM,RUN4,PA1,0.767,967,85.106,99.027
Aebu,ACCURACY,GLM,RUN4,PA1,0.986,967,85.106,99.027
Aebu,BIAS,GLM,RUN4,PA1,0.904,967,85.106,99.027
Aebu,POD,GLM,RUN4,PA1,1,36,100,92.291
Aebu,CSI,GLM,RUN4,PA1,0.669,967,85.106,99.027
Aebu,ETS,GLM,RUN4,PA1,0.66,967,85.106,99.027
Aebu,KAPPA,ANN,RUN4,PA1,0.817,975,84.043,99.28
Aebu,TSS,ANN,RUN4,PA1,0.968,399,100,96.83
Aebu,ROC,ANN,RUN4,PA1,0.996,NA,NA,NA
Aebu,FAR,ANN,RUN4,PA1,0.806,975,84.043,99.28
Aebu,SR,ANN,RUN4,PA1,0.806,975,84.043,99.28
Aebu,ACCURACY,ANN,RUN4,PA1,0.988,975,84.043,99.28
Aebu,BIAS,ANN,RUN4,PA1,0.957,975,84.043,99.28
Aebu,POD,ANN,RUN4,PA1,1,230,100,96.65
Aebu,CSI,ANN,RUN4,PA1,0.699,975,84.043,99.28
Aebu,ETS,ANN,RUN4,PA1,0.69,975,84.043,99.28
Aebu,KAPPA,SRE,RUN4,PA1,0.714,495,84.043,98.379
Aebu,TSS,SRE,RUN4,PA1,0.824,495,84.043,98.379
Aebu,ROC,SRE,RUN4,PA1,0.912,NA,NA,NA
Aebu,FAR,SRE,RUN4,PA1,0.637,495,84.043,98.379
Aebu,SR,SRE,RUN4,PA1,0.637,495,84.043,98.379
Aebu,ACCURACY,SRE,RUN4,PA1,0.979,495,84.043,98.379
Aebu,BIAS,SRE,RUN4,PA1,0.681,495,84.043,98.379
Aebu,POD,SRE,RUN4,PA1,0.84,495,84.043,98.379
Aebu,CSI,SRE,RUN4,PA1,0.568,495,84.043,98.379
Aebu,ETS,SRE,RUN4,PA1,0.555,495,84.043,98.379
Aebu,KAPPA,RF,RUN4,PA1,0.86,990,85.106,99.604
Aebu,TSS,RF,RUN4,PA1,0.98,86,100,97.911
Aebu,ROC,RF,RUN4,PA1,0.997,NA,NA,NA
Aebu,FAR,RF,RUN4,PA1,0.879,990,85.106,99.604
Aebu,SR,RF,RUN4,PA1,0.879,990,85.106,99.604
Aebu,ACCURACY,RF,RUN4,PA1,0.991,990,85.106,99.604
Aebu,BIAS,RF,RUN4,PA1,1,980,86.17,99.46
Aebu,POD,RF,RUN4,PA1,1,46,100,97.586
Aebu,CSI,RF,RUN4,PA1,0.762,990,85.106,99.604
Aebu,ETS,RF,RUN4,PA1,0.755,990,85.106,99.604
Aebu,KAPPA,GLM,RUN5,PA1,0.803,966,86.17,99.027
Aebu,TSS,GLM,RUN5,PA1,0.94,908,96.809,97.154
Aebu,ROC,GLM,RUN5,PA1,0.991,NA,NA,NA
Aebu,FAR,GLM,RUN5,PA1,0.764,966,86.17,99.027
Aebu,SR,GLM,RUN5,PA1,0.764,966,86.17,99.027
Aebu,ACCURACY,GLM,RUN5,PA1,0.987,966,86.17,99.027
Aebu,BIAS,GLM,RUN5,PA1,0.872,966,86.17,99.027
Aebu,POD,GLM,RUN5,PA1,1,25,100,91.427
Aebu,CSI,GLM,RUN5,PA1,0.681,966,86.17,99.027
Aebu,ETS,GLM,RUN5,PA1,0.671,966,86.17,99.027
Aebu,KAPPA,ANN,RUN5,PA1,0.785,968,89.362,98.775
Aebu,TSS,ANN,RUN5,PA1,0.95,26,98.936,96.037
Aebu,ROC,ANN,RUN5,PA1,0.986,NA,NA,NA
Aebu,FAR,ANN,RUN5,PA1,0.717,978,86.17,98.847
Aebu,SR,ANN,RUN5,PA1,0.717,978,86.17,98.847
Aebu,ACCURACY,ANN,RUN5,PA1,0.985,968,89.362,98.775
Aebu,BIAS,ANN,RUN5,PA1,0.798,978,86.17,98.847
Aebu,POD,ANN,RUN5,PA1,0.989,16,98.936,95.641
Aebu,CSI,ANN,RUN5,PA1,0.656,968,89.362,98.775
Aebu,ETS,ANN,RUN5,PA1,0.646,968,89.362,98.775
Aebu,KAPPA,SRE,RUN5,PA1,0.714,495,79.787,98.631
Aebu,TSS,SRE,RUN5,PA1,0.784,495,79.787,98.631
Aebu,ROC,SRE,RUN5,PA1,0.892,NA,NA,NA
Aebu,FAR,SRE,RUN5,PA1,0.664,495,79.787,98.631
Aebu,SR,SRE,RUN5,PA1,0.664,495,79.787,98.631
Aebu,ACCURACY,SRE,RUN5,PA1,0.98,495,79.787,98.631
Aebu,BIAS,SRE,RUN5,PA1,0.798,495,79.787,98.631
Aebu,POD,SRE,RUN5,PA1,0.798,495,79.787,98.631
Aebu,CSI,SRE,RUN5,PA1,0.568,495,79.787,98.631
Aebu,ETS,SRE,RUN5,PA1,0.556,495,79.787,98.631
Aebu,KAPPA,RF,RUN5,PA1,0.89,980,89.362,99.64
Aebu,TSS,RF,RUN5,PA1,0.965,63,98.936,97.514
Aebu,ROC,RF,RUN5,PA1,0.992,NA,NA,NA
Aebu,FAR,RF,RUN5,PA1,0.902,990,88.298,99.676
Aebu,SR,RF,RUN5,PA1,0.902,990,88.298,99.676
Aebu,ACCURACY,RF,RUN5,PA1,0.993,985,89.362,99.64
Aebu,BIAS,RF,RUN5,PA1,1,980,89.362,99.64
Aebu,POD,RF,RUN5,PA1,0.989,38,98.936,96.974
Aebu,CSI,RF,RUN5,PA1,0.808,980,89.362,99.64
Aebu,ETS,RF,RUN5,PA1,0.802,980,89.362,99.64
Alim,KAPPA,GLM,RUN1,PA1,0.178,948,66.667,97.727
Alim,TSS,GLM,RUN1,PA1,0.844,689,91.667,92.678
Alim,ROC,GLM,RUN1,PA1,0.96,NA,NA,NA
Alim,FAR,GLM,RUN1,PA1,0.107,948,66.667,97.727
Alim,SR,GLM,RUN1,PA1,0.107,948,66.667,97.727
Alim,ACCURACY,GLM,RUN1,PA1,0.996,967,0,99.933
Alim,BIAS,GLM,RUN1,PA1,0,967,0,99.933
Alim,POD,GLM,RUN1,PA1,1,110,100,72.852
Alim,CSI,GLM,RUN1,PA1,0.101,948,66.667,97.727
Alim,ETS,GLM,RUN1,PA1,0.098,948,66.667,97.727
Alim,KAPPA,ANN,RUN1,PA1,0.187,949,66.667,97.894
Alim,TSS,ANN,RUN1,PA1,0.863,61,100,86.225
Alim,ROC,ANN,RUN1,PA1,0.964,NA,NA,NA
Alim,FAR,ANN,RUN1,PA1,0.113,949,66.667,97.894
Alim,SR,ANN,RUN1,PA1,0.113,949,66.667,97.894
Alim,ACCURACY,ANN,RUN1,PA1,0.996,958,50,98.161
Alim,BIAS,ANN,RUN1,PA1,0,958,50,98.161
Alim,POD,ANN,RUN1,PA1,1,52,100,85.022
Alim,CSI,ANN,RUN1,PA1,0.107,949,66.667,97.894
Alim,ETS,ANN,RUN1,PA1,0.103,949,66.667,97.894
Alim,KAPPA,SRE,RUN1,PA1,0.013,495,66.667,75.059
Alim,TSS,SRE,RUN1,PA1,0.417,495,66.667,75.059
Alim,ROC,SRE,RUN1,PA1,0.709,NA,NA,NA
Alim,FAR,SRE,RUN1,PA1,0.011,495,66.667,75.059
Alim,SR,SRE,RUN1,PA1,0.011,495,66.667,75.059
Alim,ACCURACY,SRE,RUN1,PA1,0.996,1000,66.667,75.059
Alim,BIAS,SRE,RUN1,PA1,0,1000,66.667,75.059
Alim,POD,SRE,RUN1,PA1,0.667,495,66.667,75.059
Alim,CSI,SRE,RUN1,PA1,0.011,495,66.667,75.059
Alim,ETS,SRE,RUN1,PA1,0.007,495,66.667,75.059
Alim,KAPPA,RF,RUN1,PA1,0.749,985.5,75,99.9
Alim,TSS,RF,RUN1,PA1,0.867,71,91.667,94.985
Alim,ROC,RF,RUN1,PA1,0.949,NA,NA,NA
Alim,FAR,RF,RUN1,PA1,0.75,985.5,75,99.9
Alim,SR,RF,RUN1,PA1,0.75,985.5,75,99.9
Alim,ACCURACY,RF,RUN1,PA1,0.998,985.5,75,99.9
Alim,BIAS,RF,RUN1,PA1,1,985.5,75,99.9
Alim,POD,RF,RUN1,PA1,0.917,62,91.667,92.845
Alim,CSI,RF,RUN1,PA1,0.6,985.5,75,99.9
Alim,ETS,RF,RUN1,PA1,0.599,985.5,75,99.9
Alim,KAPPA,GLM,RUN2,PA1,0.268,953,50,99.03
Alim,TSS,GLM,RUN2,PA1,0.73,271,91.667,81.344
Alim,ROC,GLM,RUN2,PA1,0.94,NA,NA,NA
Alim,FAR,GLM,RUN2,PA1,0.188,953,50,99.03
Alim,SR,GLM,RUN2,PA1,0.188,953,50,99.03
Alim,ACCURACY,GLM,RUN2,PA1,0.996,962,8.333,99.933
Alim,BIAS,GLM,RUN2,PA1,0,962,8.333,99.933
Alim,POD,GLM,RUN2,PA1,1,69.5,100,68.071
Alim,CSI,GLM,RUN2,PA1,0.158,953,50,99.03
Alim,ETS,GLM,RUN2,PA1,0.155,953,50,99.03
Alim,KAPPA,ANN,RUN2,PA1,0.332,955,25,99.9
Alim,TSS,ANN,RUN2,PA1,0.91,116,100,91.006
Alim,ROC,ANN,RUN2,PA1,0.965,NA,NA,NA
Alim,FAR,ANN,RUN2,PA1,0.5,955,25,99.9
Alim,SR,ANN,RUN2,PA1,0.5,955,25,99.9
Alim,ACCURACY,ANN,RUN2,PA1,0.996,959.5,16.667,99.933
Alim,BIAS,ANN,RUN2,PA1,0.5,955,25,99.9
Alim,POD,ANN,RUN2,PA1,1,84.5,100,90.104
Alim,CSI,ANN,RUN2,PA1,0.2,955,25,99.9
Alim,ETS,ANN,RUN2,PA1,0.199,955,25,99.9
Alim,KAPPA,SRE,RUN2,PA1,0.011,495,58.333,76.028
Alim,TSS,SRE,RUN2,PA1,0.344,495,58.333,76.028
Alim,ROC,SRE,RUN2,PA1,0.672,NA,NA,NA
Alim,FAR,SRE,RUN2,PA1,0.01,495,58.333,76.028
Alim,SR,SRE,RUN2,PA1,0.01,495,58.333,76.028
Alim,ACCURACY,SRE,RUN2,PA1,0.996,1000,58.333,76.028
Alim,BIAS,SRE,RUN2,PA1,0,1000,58.333,76.028
Alim,POD,SRE,RUN2,PA1,0.583,495,58.333,76.028
Alim,CSI,SRE,RUN2,PA1,0.01,495,58.333,76.028
Alim,ETS,SRE,RUN2,PA1,0.006,495,58.333,76.028
Alim,KAPPA,RF,RUN2,PA1,0.569,971,66.667,99.699
Alim,TSS,RF,RUN2,PA1,0.87,71,91.667,94.851
Alim,ROC,RF,RUN2,PA1,0.949,NA,NA,NA
Alim,FAR,RF,RUN2,PA1,0.5,980.5,58.333,99.733
Alim,SR,RF,RUN2,PA1,0.5,980.5,58.333,99.733
Alim,ACCURACY,RF,RUN2,PA1,0.996,990,58.333,99.766
Alim,BIAS,RF,RUN2,PA1,0.833,990,58.333,99.766
Alim,POD,RF,RUN2,PA1,0.917,62,91.667,94.049
Alim,CSI,RF,RUN2,PA1,0.4,971,66.667,99.699
Alim,ETS,RF,RUN2,PA1,0.398,971,66.667,99.699
Alim,KAPPA,GLM,RUN3,PA1,0.176,944,58.333,97.894
Alim,TSS,GLM,RUN3,PA1,0.719,118,100,71.782
Alim,ROC,GLM,RUN3,PA1,0.933,NA,NA,NA
Alim,FAR,GLM,RUN3,PA1,0.13,954,33.333,99.231
Alim,SR,GLM,RUN3,PA1,0.13,954,33.333,99.231
Alim,ACCURACY,GLM,RUN3,PA1,0.996,963,8.333,99.967
Alim,BIAS,GLM,RUN3,PA1,0.083,954,33.333,99.231
