sps,test,model,score,Cutoff,Sensitivity,Specificity
Aebu,KAPPA,GLM,0.79,968,89.79,98.81
Aebu,KAPPA,ANN,0.81,971,92.13,98.85
Aebu,KAPPA,RF,0.89,878,90.21,99.63
Aebu,KAPPA,GAM,0.82,978,90.85,99.02
Aebu,TSS,GLM,0.95,754,98.09,96.48
Aebu,TSS,ANN,0.95,554,97.23,97.84
Aebu,TSS,RF,0.97,86,99.15,98.12
Aebu,TSS,GAM,0.96,515,98.72,97.63
Aebu,ROC,GLM,0.99,NA,NA,NA
Aebu,ROC,ANN,0.99,NA,NA,NA
Aebu,ROC,RF,1,NA,NA,NA
Aebu,ROC,GAM,0.99,NA,NA,NA
Aebu,FAR,GLM,0.72,968,89.79,98.81
Aebu,FAR,ANN,0.74,978,89.79,98.92
Aebu,FAR,RF,0.91,987,87.23,99.7
Aebu,FAR,GAM,0.76,980,90,99.03
Aebu,SR,GLM,0.72,968,89.79,98.81
Aebu,SR,ANN,0.74,978,89.79,98.92
Aebu,SR,RF,0.91,987,87.23,99.7
Aebu,SR,GAM,0.76,980,90,99.03
Aebu,ACCURACY,GLM,0.99,968,89.79,98.81
Aebu,ACCURACY,ANN,0.99,973,91.49,98.88
Aebu,ACCURACY,RF,0.99,891,90,99.64
Aebu,ACCURACY,GAM,0.99,978,90.85,99.02
Aebu,BIAS,GLM,0.77,968,89.79,98.81
Aebu,BIAS,ANN,0.79,978,89.79,98.92
Aebu,BIAS,RF,1,923,88.08,99.6
Aebu,BIAS,GAM,0.83,980,90,99.03
Aebu,POD,GLM,1,140,100,92.69
Aebu,POD,ANN,1,21,100,38.51
Aebu,POD,RF,1,20,100,39
Aebu,POD,GAM,1,63,100,38.55
Aebu,CSI,GLM,0.66,968,89.79,98.81
Aebu,CSI,ANN,0.69,971,92.13,98.85
Aebu,CSI,RF,0.81,878,90.21,99.63
Aebu,CSI,GAM,0.7,978,90.85,99.02
Aebu,ETS,GLM,0.65,968,89.79,98.81
Aebu,ETS,ANN,0.68,971,92.13,98.85
Aebu,ETS,RF,0.81,878,90.21,99.63
