Species,Sps,Depth
Amphibalanus eburneus,Aebu,50
Aurelia limbata,Alim,200
Alexandrium tamarense,Atam,9999
Acartia (Acanthacartia) tonsa,Aton,50
Botryllus schlosseri,Bsch,200
Botrylloides violaceus,Bvio,50
Codium fragile spp. fragile,Cfra,50
Ciona intestinalis,Cint,500
Carcinus maenas,Cmae,50
Chionoecetes opilio,Copi,1500
Dinophysis caudata,Dcau,9999
Dumontia contorta,Dcon,50
Dinophysis dens,Dden,9999
Gonyaulax polygramma,Gpol,9999
Heterocapsa triquetra,Htri,9999
Littorina littorea,Llit,50
Mya arenaria,Mare,100
Mnemiopsis leidyi,Mlei,100
Molgula manhattensis,Mman,100
Membranipora membranacea,Mmem,50
Paralithodes camtschaticus,Pcam,500
Sargassum muticum,Smut,50
Undaria pinnatifida,Upin,50
